epoch,endogeq_base_ode,endogvar_x_cond_initial_condition,total_loss
0,5.339734077453613,0.9905479550361633,6.330282211303711
50,3.5796637535095215,0.19695423543453217,3.776618003845215
100,0.8507256507873535,0.1752929985523224,1.0260186195373535
150,0.09250038117170334,0.0062946719117462635,0.09879505634307861
200,0.015477126464247704,2.1985399143886752e-05,0.015499112196266651
250,0.004291523713618517,9.96865492197685e-06,0.004301492590457201
300,0.0022343196906149387,6.785413120269368e-09,0.0022343264427036047
350,0.0013273328077048063,5.065046207164414e-05,0.0013779832515865564
400,0.0010235466761514544,5.237052391748875e-06,0.001028783735819161
450,0.0006800737464800477,1.2677891390922014e-05,0.0006927516660653055
500,0.0006989631801843643,3.2569762424827786e-06,0.0007022201316431165
550,0.00047858443576842546,3.908633516402915e-06,0.0004824930801987648
600,0.0004468108236324042,4.258577064319979e-06,0.0004510694125201553
650,0.00042006102739833295,3.1736126402392983e-06,0.0004232346545904875
700,0.00030457909451797605,4.274666207493283e-05,0.00034732575295493007
750,0.00032241165172308683,6.994846899033291e-06,0.00032940649543888867
800,0.00023135618539527059,2.1326904970919713e-06,0.00023348887043539435
850,0.00041320917080156505,1.0103475688083563e-05,0.0004233126528561115
900,0.0004047524998895824,2.7990739909000695e-05,0.00043274322524666786
950,0.00012593324936460704,6.297632353380322e-07,0.00012656301259994507
999,0.00011960772098973393,4.224077656544978e-07,0.00012003012670902535
